year_film,decade_film,release_date,year_ceremony,ceremony,film,original_title,name,category,winner
1928,1920,1928-01-29,1929,1,The Noose,The Noose,Richard Barthelmess,ACTOR,FALSE
1928,1920,1928-01-21,1929,1,The Last Command,The Last Command,Emil Jannings,ACTOR,TRUE
1928,1920,1928-01-04,1929,1,A Ship Comes In,A Ship Comes In,Louise Dresser,ACTRESS,FALSE
1927,1920,1927-09-10,1929,1,7th Heaven,7th Heaven,Janet Gaynor,ACTRESS,TRUE
1928,1920,1928-01-07,1929,1,Sadie Thompson,Sadie Thompson,Gloria Swanson,ACTRESS,FALSE
1927,1920,1927-11-04,1929,1,Sunrise,Sunrise: A Song of Two Humans,Rochus Gliese,ART DIRECTION,FALSE
1927,1920,1927-12-31,1929,1,The Dove,The Dove,William Cameron Menzies,ART DIRECTION,TRUE
1927,1920,1927-09-10,1929,1,7th Heaven,7th Heaven,Harry Oliver,ART DIRECTION,FALSE
1927,1920,1927-11-03,1929,1,The Devil Dancer,The Devil Dancer,George Barnes,CINEMATOGRAPHY,FALSE
1927,1920,1927-11-04,1929,1,Sunrise,Sunrise: A Song of Two Humans,Charles Rosher,CINEMATOGRAPHY,TRUE
1927,1920,1927-11-04,1929,1,Sunrise,Sunrise: A Song of Two Humans,Karl Struss,CINEMATOGRAPHY,TRUE
1927,1920,1927-09-23,1929,1,Two Arabian Knights,Two Arabian Knights,Lewis Milestone,DIRECTING (Comedy Picture),TRUE
1928,1920,1928-04-07,1929,1,Speedy,Speedy,Ted Wilde,DIRECTING (Comedy Picture),FALSE
1927,1920,1927-09-10,1929,1,7th Heaven,7th Heaven,Frank Borzage,DIRECTING (Dramatic Picture),TRUE
1927,1920,1927-12-02,1929,1,Sorrell and Son,Sorrell and Son,Herbert Brenon,DIRECTING (Dramatic Picture),FALSE
1928,1920,1928-03-03,1929,1,The Crowd,The Crowd,King Vidor,DIRECTING (Dramatic Picture),FALSE
1927,1920,NA,1929,1,NA,NA,Ralph Hammeras,ENGINEERING EFFECTS,FALSE
1927,1920,1927-08-12,1929,1,Wings,Wings,Roy Pomeroy,ENGINEERING EFFECTS,TRUE
1927,1920,NA,1929,1,NA,NA,Nugent Slaughter,ENGINEERING EFFECTS,FALSE
1928,1920,1928-11-01,1929,1,The Racket,The Racket,The Caddo Company,OUTSTANDING PICTURE,FALSE
1927,1920,1927-09-10,1929,1,7th Heaven,7th Heaven,Fox,OUTSTANDING PICTURE,FALSE
1927,1920,1927-08-12,1929,1,Wings,Wings,Paramount Famous Lasky,OUTSTANDING PICTURE,TRUE
1927,1920,1927-11-04,1929,1,Sunrise,Sunrise: A Song of Two Humans,Fox,UNIQUE AND ARTISTIC PICTURE,TRUE
1928,1920,1928-03-03,1929,1,The Crowd,The Crowd,Metro-Goldwyn-Mayer,UNIQUE AND ARTISTIC PICTURE,FALSE
1927,1920,1973-09-17,1929,1,Chang,Иван Васильевич меняет профессию,Paramount Famous Lasky,UNIQUE AND ARTISTIC PICTURE,FALSE
1927,1920,1927-10-06,1929,1,The Jazz Singer,The Jazz Singer,Alfred Cohn,WRITING (Adaptation),FALSE
1928,1920,1928-04-25,1929,1,Glorious Betsy,Glorious Betsy,Anthony Coldeway,WRITING (Adaptation),FALSE
1927,1920,1927-09-10,1929,1,7th Heaven,7th Heaven,Benjamin Glazer,WRITING (Adaptation),TRUE
1928,1920,1928-01-21,1929,1,The Last Command,The Last Command,Lajos Biro,WRITING (Original Story),FALSE
1927,1920,1927-08-20,1929,1,Underworld,Underworld,Ben Hecht,WRITING (Original Story),TRUE
1927,1920,1927-12-09,1929,1,The Private Life of Helen of Troy,The Private Life of Helen of Troy,Gerald Duffy,WRITING (Title Writing),FALSE
1927,1920,NA,1929,1,NA,NA,Joseph Farnham,WRITING (Title Writing),TRUE
1927,1920,NA,1929,1,NA,NA,"George Marion, Jr.",WRITING (Title Writing),FALSE
1927,1920,NA,1929,1,NA,NA,Warner Bros.,SPECIAL AWARD,TRUE
1927,1920,NA,1929,1,NA,NA,Charles Chaplin,SPECIAL AWARD,TRUE
1929,1920,1929-06-20,1930,2,Thunderbolt,Thunderbolt,George Bancroft,ACTOR,FALSE
1928,1920,1928-12-25,1930,2,In Old Arizona,In Old Arizona,Warner Baxter,ACTOR,TRUE
1929,1920,1929-04-20,1930,2,Alibi,Alibi,Chester Morris,ACTOR,FALSE
1929,1920,1929-05-19,1930,2,The Valiant,The Valiant,Paul Muni,ACTOR,FALSE
1928,1920,1928-09-01,1930,2,The Patriot,The Patriot,Lewis Stone,ACTOR,FALSE
1929,1920,1929-08-17,1930,2,Madame X,Madame X,Ruth Chatterton,ACTRESS,FALSE
1928,1920,1928-12-09,1930,2,The Barker,The Barker,Betty Compson,ACTRESS,FALSE
1929,1920,1929-03-17,1930,2,The Letter,The Letter,Jeanne Eagels,ACTRESS,FALSE
1929,1920,1929-03-31,1930,2,The Divine Lady,The Divine Lady,Corinne Griffith,ACTRESS,FALSE
1929,1920,1929-02-08,1930,2,The Broadway Melody,The Broadway Melody,Bessie Love,ACTRESS,FALSE
1929,1920,1929-03-30,1930,2,Coquette,Coquette,Mary Pickford,ACTRESS,TRUE
1928,1920,1928-09-01,1930,2,The Patriot,The Patriot,Hans Dreier,ART DIRECTION,FALSE
1929,1920,1929-03-30,1930,2,The Bridge of San Luis Rey,The Bridge of San Luis Rey,Cedric Gibbons,ART DIRECTION,TRUE
1929,1920,1929-12-13,1930,2,Dynamite,Dynamite,Mitchell Leisen,ART DIRECTION,FALSE
1929,1920,1929-04-20,1930,2,Alibi,Alibi,William Cameron Menzies,ART DIRECTION,FALSE
1928,1920,1928-04-09,1930,2,Street Angel,Street Angel,Harry Oliver,ART DIRECTION,FALSE
1928,1920,1928-09-01,1930,2,Our Dancing Daughters,Our Dancing Daughters,George Barnes,CINEMATOGRAPHY,FALSE
1928,1920,1928-11-11,1930,2,White Shadows in the South Seas,White Shadows in the South Seas,Clyde De Vinna,CINEMATOGRAPHY,TRUE
1928,1920,1928-12-25,1930,2,In Old Arizona,In Old Arizona,Arthur Edeson,CINEMATOGRAPHY,FALSE
1928,1928,1928-10-03,1930,2,4 Devils,4 Devils,Ernest Palmer,CINEMATOGRAPHY,FALSE
1929,1920,1929-03-31,1930,2,The Divine Lady,The Divine Lady,John Seitz,CINEMATOGRAPHY,FALSE
1929,1920,1929-08-17,1930,2,Madame X,Madame X,Lionel Barrymore,DIRECTING,FALSE
1929,1920,1929-02-08,1930,2,The Broadway Melody,The Broadway Melody,Harry Beaumont,DIRECTING,FALSE
1928,1920,1928-12-25,1930,2,In Old Arizona,In Old Arizona,Irving Cummings,DIRECTING,FALSE
1929,1920,1929-03-31,1930,2,The Divine Lady,The Divine Lady,Frank Lloyd,DIRECTING,TRUE
1929,1920,1929-07-21,1930,2,Drag,Drag,Frank Lloyd,DIRECTING,FALSE
1928,1920,1928-09-01,1930,2,The Patriot,The Patriot,Ernst Lubitsch,DIRECTING,FALSE
1929,1920,1929-04-20,1930,2,Alibi,Alibi,Feature Productions,OUTSTANDING PICTURE,FALSE
1928,1920,1928-12-25,1930,2,In Old Arizona,In Old Arizona,Fox,OUTSTANDING PICTURE,FALSE
1929,1920,1929-02-08,1930,2,The Broadway Melody,The Broadway Melody,Metro-Goldwyn-Mayer,OUTSTANDING PICTURE,TRUE
1929,1920,1929-11-23,1930,2,Hollywood Revue,The Hollywood Revue of 1929,Metro-Goldwyn-Mayer,OUTSTANDING PICTURE,FALSE
1928,1920,1928-09-01,1930,2,The Patriot,The Patriot,Paramount Famous Lasky,OUTSTANDING PICTURE,FALSE
1928,1920,1928-12-25,1930,2,In Old Arizona,In Old Arizona,Tom Barry,WRITING,FALSE
1928,1920,1928-08-28,1930,2,The Cop,The Cop,Elliott Clawson,WRITING,FALSE
1929,1920,1929-07-06,1930,2,The Last of Mrs. Cheyney,The Last of Mrs. Cheyney,Hans Kraly,WRITING,FALSE
1928,1920,1928-09-01,1930,2,The Patriot,The Patriot,Hans Kraly,WRITING,TRUE
1928,1920,1928-09-01,1930,2,Our Dancing Daughters,Our Dancing Daughters,Josephine Lovett,WRITING,FALSE
1928,1920,1928-12-15,1930,2,A Woman of Affairs,A Woman of Affairs,Bess Meredyth,WRITING,FALSE
1929,1920,1929-11-01,1931,3,Disraeli,Disraeli,George Arliss,ACTOR,TRUE
1930,1930,1930-02-13,1931,3,The Green Goddess,The Green Goddess,George Arliss,ACTOR,FALSE
1930,1930,1930-06-14,1931,3,The Big House,The Big House,Wallace Beery,ACTOR,FALSE
1930,1930,1930-05-03,1931,3,The Big Pond,The Big Pond,Maurice Chevalier,ACTOR,FALSE
1929,1920,1929-05-02,1931,3,Bulldog Drummond,Bulldog Drummond,Ronald Colman,ACTOR,FALSE
1930,1930,1930-01-17,1931,3,The Rogue Song,The Rogue Song,Lawrence Tibbett,ACTOR,FALSE
1930,1930,1930-05-09,1931,3,The Devil's Holiday,The Devil's Holiday,Nancy Carroll,ACTRESS,FALSE
1930,1930,1930-03-14,1931,3,Sarah and Son,Sarah and Son,Ruth Chatterton,ACTRESS,FALSE
1930,1930,1930-02-21,1931,3,Anna Christie,Anna Christie,Greta Garbo,ACTRESS,FALSE
1930,1930,1930-04-19,1931,3,The Divorcee,The Divorcee,Norma Shearer,ACTRESS,TRUE
1929,1920,1929-12-27,1931,3,Their Own Desire,Their Own Desire,Norma Shearer,ACTRESS,FALSE
1929,1920,1929-11-11,1931,3,The Trespasser,The Trespasser,Gloria Swanson,ACTRESS,FALSE
1929,1920,1929-05-02,1931,3,Bulldog Drummond,Bulldog Drummond,(William Cameron Menzies),ART DIRECTION,FALSE
1930,1930,1930-04-20,1931,3,King of Jazz,King of Jazz,Herman Rosse,ART DIRECTION,TRUE
1930,1930,1930-01-18,1931,3,The Love Parade,The Love Parade,(Hans Dreier),ART DIRECTION,FALSE
1930,1930,1930-01-12,1931,3,Sally,Sally,(Jack Okey),ART DIRECTION,FALSE
1930,1930,1930-02-17,1931,3,The Vagabond King,The Vagabond King,(Hans Dreier),ART DIRECTION,FALSE
1930,1930,1930-04-29,1931,3,All Quiet on the Western Front,All Quiet on the Western Front,(Arthur Edeson),CINEMATOGRAPHY,FALSE
1930,1930,1930-02-21,1931,3,Anna Christie,Anna Christie,(William Daniels),CINEMATOGRAPHY,FALSE
1930,1930,1930-11-15,1931,3,Hell's Angels,Hell's Angels,"(Gaetano Gaudio), (Harry Perry)",CINEMATOGRAPHY,FALSE
1930,1930,1930-01-18,1931,3,The Love Parade,The Love Parade,(Victor Milner),CINEMATOGRAPHY,FALSE
1930,1930,1930-06-19,1931,3,With Byrd at the South Pole,With Byrd at the South Pole,"Joseph T. Rucker, Willard Van Der Veer",CINEMATOGRAPHY,TRUE
1930,1930,1930-02-21,1931,3,Anna Christie,Anna Christie,Clarence Brown,DIRECTING,FALSE
1930,1930,1930-04-19,1931,3,The Divorcee,The Divorcee,Robert Leonard,DIRECTING,FALSE
1930,1930,1930-01-18,1931,3,The Love Parade,The Love Parade,Ernst Lubitsch,DIRECTING,FALSE
1930,1930,1930-04-29,1931,3,All Quiet on the Western Front,All Quiet on the Western Front,Lewis Milestone,DIRECTING,TRUE
1929,1920,1929-08-20,1931,3,Hallelujah,Hallelujah,King Vidor,DIRECTING,FALSE
1930,1930,1930-04-29,1931,3,All Quiet on the Western Front,All Quiet on the Western Front,Universal,OUTSTANDING PRODUCTION,TRUE
1930,1930,1930-06-14,1931,3,The Big House,The Big House,Cosmopolitan,OUTSTANDING PRODUCTION,FALSE
1929,1920,1929-11-01,1931,3,Disraeli,Disraeli,Warner Bros.,OUTSTANDING PRODUCTION,FALSE
1930,1930,1930-04-19,1931,3,The Divorcee,The Divorcee,Metro-Goldwyn-Mayer,OUTSTANDING PRODUCTION,FALSE
1930,1930,1930-01-18,1931,3,The Love Parade,The Love Parade,Paramount Famous Lasky,OUTSTANDING PRODUCTION,FALSE
1930,1930,1930-06-14,1931,3,The Big House,The Big House,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",SOUND RECORDING,TRUE
1930,1930,1930-02-23,1931,3,The Case of Sergeant Grischa,The Case of Sergeant Grischa,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",SOUND RECORDING,FALSE
1930,1930,1930-01-18,1931,3,The Love Parade,The Love Parade,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",SOUND RECORDING,FALSE
