year_film,release_date,year_ceremony,film,winner,Genre,Runtime,Meta_score,Nominated_Both_Director_and_Picture,Golden_Globe_Picture_Winner,pga_winner
2024.0,2024-12-18,2025,A Complete Unknown,False,"Biography, Drama, Music",141 min,70.0,True,False,False
2024.0,2024-10-18,2025,Anora,True,"Comedy, Drama, Romance",139 min,91.0,True,False,True
2024.0,2024-10-25,2025,Conclave,False,"Drama, Thriller",120 min,79.0,False,False,False
2024.0,2024-03-01,2025,Dune: Part Two,False,"Action, Adventure, Drama, Sci-Fi",166 min,79.0,False,False,False
2024.0,2024-11-01,2025,Emilia Pérez,False,"Crime, Drama, Musical, Thriller",132 min,70.0,True,True,False
2024.0,2024-11-20,2025,I'm Still Here,False,"Biography, Drama, History",137 min,85.0,False,False,False
2024.0,2024-12-13,2025,Nickel Boys,False,Drama,140 min,91.0,False,False,False
2024.0,2024-12-20,2025,The Brutalist,False,Drama,216 min,90.0,True,True,False
2024.0,2024-09-20,2025,The Substance,False,"Drama, Horror, Sci-Fi",141 min,78.0,True,False,False
2024.0,2024-11-22,2025,Wicked,False,"Fantasy, Musical, Romance",160 min,73.0,False,False,False
2023.0,2023-12-15,2024,American Fiction,False,"Comedy, Drama",117 min,81.0,False,False,False
2023.0,2023-10-13,2024,Anatomy of a Fall,False,"Crime, Drama, Mystery, Thriller",151 min,86.0,True,False,False
2023.0,2023-07-21,2024,Barbie,False,"Adventure, Comedy, Fantasy",114 min,80.0,False,False,False
2023.0,2023-10-20,2024,Killers of the Flower Moon,False,"Crime, Drama, History, Western",206 min,89.0,True,False,False
2023.0,2023-11-22,2024,Maestro,False,"Biography, Drama, History, Music, Romance",129 min,77.0,False,False,False
2023.0,2023-07-21,2024,Oppenheimer,True,"Biography, Drama, History",180 min,90.0,True,True,True
2023.0,2023-06-02,2024,Past Lives,False,"Drama, Romance",105 min,94.0,False,False,False
2023.0,2023-12-08,2024,Poor Things,False,"Comedy, Drama, Romance, Sci-Fi",141 min,88.0,True,True,False
2023.0,2023-10-27,2024,The Holdovers,False,"Comedy, Drama",133 min,82.0,False,False,False
2023.0,2023-12-15,2024,The Zone of Interest,False,"Drama, History, War",105 min,92.0,True,False,False
2022.0,2022-10-07,2023,All Quiet on the Western Front,False,"Drama, War",152 min,91.0,False,False,False
2022.0,2022-12-16,2023,Avatar: The Way of Water,False,"Action, Adventure, Fantasy, Sci-Fi",192 min,67.0,False,False,False
2022.0,2022-06-24,2023,Elvis,False,"Biography, Drama, Music",159 min,64.0,False,False,False
2022.0,2022-03-25,2023,Everything Everywhere All at Once,True,"Action, Adventure, Comedy, Drama, Fantasy, Sci-Fi",139 min,81.0,True,False,True
2022.0,2022-10-21,2023,The Banshees of Inisherin,False,"Comedy, Drama",114 min,87.0,True,True,False
2022.0,2022-11-11,2023,The Fabelmans,False,Drama,151 min,85.0,True,True,False
2022.0,2022-05-27,2023,Top Gun: Maverick,False,"Action, Drama",130 min,78.0,False,False,False
2022.0,2022-10-07,2023,Triangle of Sadness,False,"Comedy, Drama",147 min,63.0,True,False,False
2022.0,2022-10-07,2023,Tár,False,"Drama, Music",158 min,93.0,True,False,False
2022.0,2022-12-23,2023,Women Talking,False,Drama,104 min,77.0,False,False,False
2021.0,2021-11-12,2022,Belfast,False,"Biography, Drama",98 min,75.0,True,False,False
2021.0,2021-08-13,2022,CODA,True,"Comedy, Drama, Music",111 min,72.0,False,False,True
2021.0,2021-12-10,2022,Don't Look Up,False,"Comedy, Drama, Sci-Fi",138 min,49.0,False,False,False
2021.0,2021-11-24,2022,Drive My Car,False,Drama,179 min,91.0,True,False,False
2021.0,2021-10-22,2022,Dune,False,"Action, Adventure, Drama, Sci-Fi",155 min,74.0,False,False,False
2021.0,2021-02-12,2021,Judas and the Black Messiah,False,"Biography, Crime, Drama, History",126 min,84.0,False,False,False
2021.0,2021-11-19,2022,King Richard,False,"Biography, Drama, Sport",144 min,76.0,False,False,False
2021.0,2021-11-26,2022,Licorice Pizza,False,"Comedy, Drama, Romance",133 min,90.0,True,False,False
2021.0,2021-02-12,2021,Minari,False,Drama,115 min,89.0,True,False,False
2021.0,2021-12-17,2022,Nightmare Alley,False,"Crime, Drama, Thriller",150 min,70.0,False,False,False
2021.0,2021-01-29,2021,Nomadland,True,Drama,107 min,87.0,True,True,True
2021.0,2021-02-26,2021,The Father,False,"Drama, Mystery",97 min,88.0,False,False,False
2021.0,2021-11-17,2022,The Power of the Dog,False,"Drama, Western",126 min,89.0,True,True,False
2021.0,2021-12-10,2022,West Side Story,False,"Crime, Drama, Musical, Romance",156 min,85.0,True,True,False
2020.0,2020-11-13,2021,Mank,False,"Biography,  Drama",131 min,79.0,True,False,False
2020.0,2020-12-25,2021,Promising Young Woman,False,"Crime, Drama, Mystery, Thriller",113 min,72.0,True,False,False
2020.0,2020-11-20,2021,Sound of Metal,False,"Drama, Music",120 min,81.0,False,False,False
2020.0,2020-09-25,2021,The Trial of the Chicago 7,False,"Drama, History, Thriller",129 min,77.0,False,False,False
2019.0,2019-12-25,2020,1917,False,"Drama, Thriller, War",119 min,78.0,True,True,True
2019.0,2019-11-15,2020,Ford v Ferrari,False,"Action, Biography, Drama",152 min,81.0,False,False,False
2019.0,2019-10-18,2020,Jojo Rabbit,False,"Comedy, Drama, War",108 min,58.0,False,False,False
2019.0,2019-10-04,2020,Joker,False,"Crime, Drama, Thriller",122 min,59.0,True,False,False
2019.0,2019-12-25,2020,Little Women,False,"Drama, Romance",135 min,91.0,False,False,False
2019.0,2019-11-06,2020,Marriage Story,False,"Comedy, Drama, Romance",137 min,94.0,False,False,False
2019.0,2019-08-14,2020,Once upon a Time...in Hollywood,False,"Comedy, Drama",161 min,84.0,True,True,False
2019.0,2019-10-11,2020,Parasite,True,"Drama, Thriller",132 min,97.0,True,False,False
2019.0,2019-11-01,2020,The Irishman,False,"Biography, Crime, Drama",209 min,94.0,True,False,False
